Subject ID,Avg_Score,Std_Dev,Min_Score,Max_Score,Num_Evaluations,Source_<lambda>,Rater Name_nunique,Response_Completeness_mean,Sentiment_Negative,Sentiment_Neutral,Sentiment_No Comment,Sentiment_Positive,Avg_Compound_Score,Total_Comments,Negative_Comment_Count,Negative_Comment_Pct,Coefficient_of_Variation
PHYS_f5f4b850e183,4.699,0.481,3.0,5.0,22,AUBMC,23,0.277,0,0,21,2,0.3715,23,0,0.0,0.102
PHYS_f6151b43d937,4.766,0.461,3.0,5.0,27,AUBMC,27,0.301,0,0,26,1,0.9042,27,0,0.0,0.097
PHYS_f865b2d06c16,4.789,0.303,4.0,5.0,18,AUBMC,23,0.216,0,0,21,2,0.5306,23,0,0.0,0.063
PHYS_f8e4d4614698,4.599,0.636,2.7,5.0,29,AUBMC,32,0.267,0,1,29,2,0.39840000000000003,32,0,0.0,0.138
PHYS_f940253b51c8,4.793,0.411,3.5,5.0,19,AUBMC,23,0.246,1,1,20,1,0.032533333333333324,23,1,4.3,0.086
PHYS_fb27e93e1ed4,4.892,0.33,3.4,5.0,25,AUBMC,25,0.295,0,1,20,4,0.64452,25,0,0.0,0.067
PHYS_fbac4acc1040,4.842,0.37,3.8,5.0,12,AUBMC,12,0.278,0,0,11,1,0.6124,12,0,0.0,0.076
PHYS_fe698927a536,4.23,0.891,1.333,5.0,16,ED,18,0.392,0,0,18,0,,18,0,0.0,0.211
PHYS_ff23e6d53ea5,4.95,0.11,4.7,5.0,16,AUBMC,16,0.303,0,0,15,1,0.6369,16,0,0.0,0.022
PHYS_ff504267d9d6,4.71,0.55,3.267,5.0,21,ED,21,0.446,0,0,21,0,,21,0,0.0,0.117
PHYS_ffde29b94a98,4.838,0.338,3.9,5.0,20,AUBMC,21,0.266,0,1,18,2,0.5110333333333333,21,0,0.0,0.07
